Experiment ID,Algorithm,Mean Validation Recall,Rank of hyperparameter set,C,gamma,kernel,accuracy,precision,recall,f1,balanced_accuracy,max_depth,min_samples_leaf,min_samples_split,n_estimators,colsample_bytree,learning_rate,scale_pos_weight,subsample
1,SVM (Min-Max),0.9242870500233755,8,0.1,scale,linear,,,,,,,,,,,,,
1,SVM (Min-Max),0.9328892005610099,2,0.1,scale,rbf,,,,,,,,,,,,,
1,SVM (Min-Max),0.9113136979897147,12,0.1,scale,poly,,,,,,,,,,,,,
1,SVM (Min-Max),0.9242870500233755,8,0.1,auto,linear,,,,,,,,,,,,,
1,SVM (Min-Max),0.9156147732585319,11,0.1,auto,rbf,,,,,,,,,,,,,
1,SVM (Min-Max),0.7341280972417017,18,0.1,auto,poly,,,,,,,,,,,,,
1,SVM (Min-Max),0.9286115007012622,5,1.0,scale,linear,,,,,,,,,,,,,
1,SVM (Min-Max),0.9199625993454885,10,1.0,scale,rbf,,,,,,,,,,,,,
1,SVM (Min-Max),0.8876110331930809,15,1.0,scale,poly,,,,,,,,,,,,,
1,SVM (Min-Max),0.9286115007012622,5,1.0,auto,linear,,,,,,,,,,,,,
1,SVM (Min-Max),0.9264609630668538,7,1.0,auto,rbf,,,,,,,,,,,,,
1,SVM (Min-Max),0.893969144460028,14,1.0,auto,poly,,,,,,,,,,,,,
1,SVM (Min-Max),0.9286348761103319,3,10.0,scale,linear,,,,,,,,,,,,,
1,SVM (Min-Max),0.8594904160822814,16,10.0,scale,rbf,,,,,,,,,,,,,
1,SVM (Min-Max),0.8292192613370734,17,10.0,scale,poly,,,,,,,,,,,,,
1,SVM (Min-Max),0.9286348761103319,3,10.0,auto,linear,,,,,,,,,,,,,
1,SVM (Min-Max),0.9350864890135577,1,10.0,auto,rbf,0.8906189178668743,0.9678114662739955,0.8906189178668743,0.9182495414571707,0.9201839826839826,,,,,,,,
1,SVM (Min-Max),0.9070126227208976,13,10.0,auto,poly,,,,,,,,,,,,,
2,SVM (StandardScaler),0.9264609630668537,5,0.1,scale,linear,,,,,,,,,,,,,
2,SVM (StandardScaler),0.9350864890135577,1,0.1,scale,rbf,0.8886726352666408,0.9676638155462126,0.8886726352666408,0.9169816207395581,0.9191693722943723,,,,,,,,
2,SVM (StandardScaler),0.8789387564282375,11,0.1,scale,poly,,,,,,,,,,,,,
2,SVM (StandardScaler),0.9264609630668537,5,0.1,auto,linear,,,,,,,,,,,,,
2,SVM (StandardScaler),0.9350864890135577,1,0.1,auto,rbf,0.8886726352666408,0.9676638155462126,0.8886726352666408,0.9169816207395581,0.9191693722943723,,,,,,,,
2,SVM (StandardScaler),0.8789387564282375,11,0.1,auto,poly,,,,,,,,,,,,,
2,SVM (StandardScaler),0.924310425432445,7,1.0,scale,linear,,,,,,,,,,,,,
2,SVM (StandardScaler),0.887540906965872,9,1.0,scale,rbf,,,,,,,,,,,,,
